X,Y,Color
-180.0,-180.0,"(0.8, 0.0, 0.0, 1.0)"
-180.0,-176.0,"(0.8, 0.0, 0.0, 1.0)"
-180.0,-172.0,"(0.8, 0.0, 0.0, 1.0)"
-180.0,-168.0,"(0.8, 0.0, 0.0, 1.0)"
-180.0,-164.0,"(0.8, 0.0, 0.0, 1.0)"
-180.0,-160.0,"(0.8, 0.0, 0.0, 1.0)"
-180.0,-156.0,"(0.8, 0.0, 0.0, 1.0)"
-180.0,-152.0,"(0.8, 0.0, 0.0, 1.0)"
-180.0,-148.0,"(0.8, 0.0, 0.0, 1.0)"
-180.0,-144.0,"(0.4, 0.8, 0.0, 1.0)"
-180.0,-140.0,"(0.4, 0.8, 0.0, 1.0)"
-180.0,-136.0,"(0.4, 0.8, 0.0, 1.0)"
-180.0,-128.0,"(0.4, 0.8, 0.0, 1.0)"
-180.0,-124.0,"(0.4, 0.8, 0.0, 1.0)"
-180.0,68.0,"(0.4, 0.8, 0.0, 1.0)"
-180.0,112.0,"(0.4, 0.8, 0.0, 1.0)"
-180.0,132.0,"(0.4, 0.8, 0.0, 1.0)"
-180.0,144.0,"(0.4, 0.8, 0.0, 1.0)"
-180.0,148.0,"(0.4, 0.8, 0.0, 1.0)"
-180.0,152.0,"(0.4, 0.8, 0.0, 1.0)"
-180.0,156.0,"(0.4, 0.8, 0.0, 1.0)"
-180.0,160.0,"(0.8, 0.0, 0.0, 1.0)"
-180.0,164.0,"(0.8, 0.0, 0.0, 1.0)"
-180.0,168.0,"(0.8, 0.0, 0.0, 1.0)"
-180.0,172.0,"(0.8, 0.0, 0.0, 1.0)"
-180.0,176.0,"(0.8, 0.0, 0.0, 1.0)"
-176.0,-180.0,"(0.8, 0.0, 0.0, 1.0)"
-176.0,-176.0,"(0.8, 0.0, 0.0, 1.0)"
-176.0,-172.0,"(0.8, 0.0, 0.0, 1.0)"
-176.0,-168.0,"(0.8, 0.0, 0.0, 1.0)"
-176.0,-164.0,"(0.8, 0.0, 0.0, 1.0)"
-176.0,-160.0,"(0.4, 0.8, 0.0, 1.0)"
-176.0,-156.0,"(0.8, 0.0, 0.0, 1.0)"
-176.0,-152.0,"(0.8, 0.0, 0.0, 1.0)"
-176.0,-144.0,"(0.4, 0.8, 0.0, 1.0)"
-176.0,-140.0,"(0.4, 0.8, 0.0, 1.0)"
-176.0,-112.0,"(0.4, 0.8, 0.0, 1.0)"
-176.0,140.0,"(0.8, 0.0, 0.0, 1.0)"
-176.0,148.0,"(0.8, 0.0, 0.0, 1.0)"
-176.0,152.0,"(0.4, 0.8, 0.0, 1.0)"
-176.0,160.0,"(0.8, 0.0, 0.0, 1.0)"
-176.0,164.0,"(0.8, 0.0, 0.0, 1.0)"
-176.0,168.0,"(0.8, 0.0, 0.0, 1.0)"
-176.0,172.0,"(0.8, 0.0, 0.0, 1.0)"
-176.0,176.0,"(0.8, 0.0, 0.0, 1.0)"
-172.0,-180.0,"(0.8, 0.0, 0.0, 1.0)"
-172.0,-176.0,"(0.8, 0.0, 0.0, 1.0)"
-172.0,-172.0,"(0.8, 0.0, 0.0, 1.0)"
-172.0,-168.0,"(0.8, 0.0, 0.0, 1.0)"
-172.0,-164.0,"(0.8, 0.0, 0.0, 1.0)"
-172.0,-160.0,"(0.8, 0.0, 0.0, 1.0)"
-172.0,-156.0,"(0.8, 0.0, 0.0, 1.0)"
-172.0,-152.0,"(0.8, 0.0, 0.0, 1.0)"
-172.0,-148.0,"(0.4, 0.8, 0.0, 1.0)"
-172.0,-144.0,"(0.8, 0.0, 0.0, 1.0)"
-172.0,-136.0,"(0.4, 0.8, 0.0, 1.0)"
-172.0,128.0,"(0.4, 0.8, 0.0, 1.0)"
-172.0,136.0,"(0.4, 0.8, 0.0, 1.0)"
-172.0,152.0,"(0.8, 0.0, 0.0, 1.0)"
-172.0,156.0,"(0.8, 0.0, 0.0, 1.0)"
-172.0,160.0,"(0.8, 0.0, 0.0, 1.0)"
-172.0,164.0,"(0.8, 0.0, 0.0, 1.0)"
-172.0,168.0,"(0.4, 0.8, 0.0, 1.0)"
-172.0,172.0,"(0.4, 0.8, 0.0, 1.0)"
-172.0,176.0,"(0.8, 0.0, 0.0, 1.0)"
-168.0,-180.0,"(0.8, 0.0, 0.0, 1.0)"
-168.0,-176.0,"(0.8, 0.0, 0.0, 1.0)"
-168.0,-172.0,"(0.8, 0.0, 0.0, 1.0)"
-168.0,-168.0,"(0.8, 0.0, 0.0, 1.0)"
-168.0,-160.0,"(0.8, 0.0, 0.0, 1.0)"
-168.0,-156.0,"(0.8, 0.0, 0.0, 1.0)"
-168.0,-152.0,"(0.4, 0.8, 0.0, 1.0)"
-168.0,-148.0,"(0.8, 0.0, 0.0, 1.0)"
-168.0,-144.0,"(0.4, 0.8, 0.0, 1.0)"
-168.0,-140.0,"(0.4, 0.8, 0.0, 1.0)"
-168.0,-136.0,"(0.8, 0.0, 0.0, 1.0)"
-168.0,-92.0,"(0.4, 0.8, 0.0, 1.0)"
-168.0,44.0,"(0.4, 0.8, 0.0, 1.0)"
-168.0,124.0,"(0.4, 0.8, 0.0, 1.0)"
-168.0,136.0,"(0.4, 0.8, 0.0, 1.0)"
-168.0,144.0,"(0.4, 0.8, 0.0, 1.0)"
-168.0,148.0,"(0.4, 0.8, 0.0, 1.0)"
-168.0,152.0,"(0.8, 0.0, 0.0, 1.0)"
-168.0,160.0,"(0.8, 0.0, 0.0, 1.0)"
-168.0,164.0,"(0.8, 0.0, 0.0, 1.0)"
-168.0,168.0,"(0.8, 0.0, 0.0, 1.0)"
-168.0,172.0,"(0.8, 0.0, 0.0, 1.0)"
-168.0,176.0,"(0.8, 0.0, 0.0, 1.0)"
-164.0,-180.0,"(0.4, 0.8, 0.0, 1.0)"
