X,Y,Color
-112.0,100.0,"(0.7607843137, 0.7764705882, 0.7529411765, 1.0)"
-108.0,132.0,"(0.7607843137, 0.7764705882, 0.7529411765, 1.0)"
-104.0,148.0,"(0.6, 0.8, 1.0, 1.0)"
-104.0,160.0,"(0.7607843137, 0.7764705882, 0.7529411765, 1.0)"
-104.0,164.0,"(0.7607843137, 0.7764705882, 0.7529411765, 1.0)"
-100.0,156.0,"(0.7607843137, 0.7764705882, 0.7529411765, 1.0)"
-100.0,172.0,"(0.7607843137, 0.7764705882, 0.7529411765, 1.0)"
-96.0,128.0,"(0.7607843137, 0.7764705882, 0.7529411765, 1.0)"
-96.0,148.0,"(0.7607843137, 0.7764705882, 0.7529411765, 1.0)"
-96.0,152.0,"(0.7607843137, 0.7764705882, 0.7529411765, 1.0)"
-96.0,160.0,"(0.7607843137, 0.7764705882, 0.7529411765, 1.0)"
-96.0,164.0,"(0.7607843137, 0.7764705882, 0.7529411765, 1.0)"
-92.0,60.0,"(0.7607843137, 0.7764705882, 0.7529411765, 1.0)"
-92.0,112.0,"(0.7607843137, 0.7764705882, 0.7529411765, 1.0)"
-92.0,116.0,"(0.7607843137, 0.7764705882, 0.7529411765, 1.0)"
-92.0,132.0,"(0.6, 0.8, 1.0, 1.0)"
-92.0,136.0,"(0.7607843137, 0.7764705882, 0.7529411765, 1.0)"
-92.0,140.0,"(0.7607843137, 0.7764705882, 0.7529411765, 1.0)"
-92.0,144.0,"(0.7607843137, 0.7764705882, 0.7529411765, 1.0)"
-92.0,148.0,"(0.0, 0.4, 0.8, 1.0)"
-92.0,152.0,"(0.0, 0.4, 0.8, 1.0)"
-92.0,156.0,"(0.0, 0.4, 0.8, 1.0)"
-92.0,160.0,"(0.7607843137, 0.7764705882, 0.7529411765, 1.0)"
-92.0,172.0,"(0.0, 0.4, 0.8, 1.0)"
-92.0,176.0,"(0.7607843137, 0.7764705882, 0.7529411765, 1.0)"
-88.0,-12.0,"(0.7607843137, 0.7764705882, 0.7529411765, 1.0)"
-88.0,-8.0,"(0.7607843137, 0.7764705882, 0.7529411765, 1.0)"
-88.0,-4.0,"(0.7607843137, 0.7764705882, 0.7529411765, 1.0)"
-88.0,56.0,"(0.7607843137, 0.7764705882, 0.7529411765, 1.0)"
-88.0,64.0,"(0.7607843137, 0.7764705882, 0.7529411765, 1.0)"
-88.0,80.0,"(0.7607843137, 0.7764705882, 0.7529411765, 1.0)"
-88.0,112.0,"(0.7607843137, 0.7764705882, 0.7529411765, 1.0)"
-88.0,116.0,"(0.7607843137, 0.7764705882, 0.7529411765, 1.0)"
-88.0,124.0,"(0.0, 0.4, 0.8, 1.0)"
-88.0,128.0,"(0.6, 0.8, 1.0, 1.0)"
-88.0,132.0,"(0.6, 0.8, 1.0, 1.0)"
-88.0,136.0,"(0.7607843137, 0.7764705882, 0.7529411765, 1.0)"
-88.0,140.0,"(0.0, 0.2, 0.4, 1.0)"
-88.0,144.0,"(0.0, 0.6, 0.0, 1.0)"
-88.0,148.0,"(0.0, 0.2, 0.4, 1.0)"
-88.0,152.0,"(0.4, 0.8, 0.0, 1.0)"
-88.0,156.0,"(0.0, 0.6, 0.0, 1.0)"
-88.0,160.0,"(0.0, 0.4, 0.8, 1.0)"
-88.0,164.0,"(0.0, 0.2, 0.4, 1.0)"
-88.0,168.0,"(0.0, 0.4, 0.8, 1.0)"
-88.0,172.0,"(0.0, 0.2, 0.4, 1.0)"
-84.0,-180.0,"(0.7607843137, 0.7764705882, 0.7529411765, 1.0)"
-84.0,-8.0,"(0.6, 0.8, 1.0, 1.0)"
-84.0,52.0,"(0.7607843137, 0.7764705882, 0.7529411765, 1.0)"
-84.0,56.0,"(0.7607843137, 0.7764705882, 0.7529411765, 1.0)"
-84.0,60.0,"(0.0, 0.4, 0.8, 1.0)"
-84.0,80.0,"(0.7607843137, 0.7764705882, 0.7529411765, 1.0)"
-84.0,92.0,"(0.7607843137, 0.7764705882, 0.7529411765, 1.0)"
-84.0,96.0,"(0.7607843137, 0.7764705882, 0.7529411765, 1.0)"
-84.0,100.0,"(0.6, 0.8, 1.0, 1.0)"
-84.0,124.0,"(0.0, 0.2, 0.4, 1.0)"
-84.0,132.0,"(0.0, 0.2, 0.4, 1.0)"
-84.0,136.0,"(0.0, 0.2, 0.4, 1.0)"
-84.0,140.0,"(1.0, 0.5019607843, 0.0, 1.0)"
-84.0,144.0,"(0.8, 0.0, 0.0, 1.0)"
-84.0,148.0,"(0.8, 0.0, 0.0, 1.0)"
-84.0,152.0,"(0.8, 0.0, 0.0, 1.0)"
-84.0,156.0,"(0.8, 0.0, 0.0, 1.0)"
-84.0,160.0,"(0.8, 0.0, 0.0, 1.0)"
-84.0,164.0,"(1.0, 1.0, 0.4, 1.0)"
-84.0,168.0,"(1.0, 1.0, 0.4, 1.0)"
