X,Y,Color
-176.0,144.0,"(0.6, 0.8, 1.0, 1.0)"
-176.0,148.0,"(0.6, 0.8, 1.0, 1.0)"
-176.0,152.0,"(0.0, 0.6, 0.0, 1.0)"
-172.0,-176.0,"(0.6, 0.8, 1.0, 1.0)"
-172.0,144.0,"(0.6, 0.8, 1.0, 1.0)"
-172.0,148.0,"(1.0, 0.5019607843, 0.0, 1.0)"
-172.0,152.0,"(0.6, 0.8, 1.0, 1.0)"
-172.0,156.0,"(0.6, 0.8, 1.0, 1.0)"
-172.0,176.0,"(0.6, 0.8, 1.0, 1.0)"
-168.0,-180.0,"(0.0, 0.4, 0.8, 1.0)"
-168.0,-172.0,"(0.6, 0.8, 1.0, 1.0)"
-168.0,-164.0,"(0.6, 0.8, 1.0, 1.0)"
-168.0,112.0,"(0.6, 0.8, 1.0, 1.0)"
-168.0,132.0,"(0.6, 0.8, 1.0, 1.0)"
-168.0,140.0,"(0.0, 0.4, 0.8, 1.0)"
-168.0,144.0,"(0.6, 0.8, 1.0, 1.0)"
-168.0,148.0,"(1.0, 0.0, 0.0, 1.0)"
-168.0,152.0,"(1.0, 0.0, 0.0, 1.0)"
-168.0,156.0,"(0.0, 0.6, 0.0, 1.0)"
-168.0,160.0,"(0.6, 0.8, 1.0, 1.0)"
-164.0,-180.0,"(1.0, 0.5019607843, 0.0, 1.0)"
-164.0,-172.0,"(0.6, 0.8, 1.0, 1.0)"
-164.0,104.0,"(0.6, 0.8, 1.0, 1.0)"
-164.0,140.0,"(0.4, 0.8, 0.0, 1.0)"
-164.0,144.0,"(0.4, 0.8, 0.0, 1.0)"
-164.0,148.0,"(0.8, 0.0, 0.0, 1.0)"
-164.0,152.0,"(0.4, 0.8, 0.0, 1.0)"
-164.0,156.0,"(0.8, 0.0, 0.0, 1.0)"
-164.0,160.0,"(0.0, 0.6, 0.0, 1.0)"
-164.0,164.0,"(0.6, 0.8, 1.0, 1.0)"
-160.0,-176.0,"(0.0, 0.6, 0.0, 1.0)"
-160.0,-172.0,"(0.6, 0.8, 1.0, 1.0)"
-160.0,-168.0,"(0.6, 0.8, 1.0, 1.0)"
-160.0,124.0,"(0.0, 0.4, 0.8, 1.0)"
-160.0,128.0,"(0.6, 0.8, 1.0, 1.0)"
-160.0,144.0,"(1.0, 0.0, 0.0, 1.0)"
-160.0,148.0,"(1.0, 0.0, 0.0, 1.0)"
-160.0,152.0,"(0.8, 0.0, 0.0, 1.0)"
-160.0,156.0,"(0.8, 0.0, 0.0, 1.0)"
-160.0,160.0,"(1.0, 0.5019607843, 0.0, 1.0)"
-160.0,164.0,"(0.6, 0.8, 1.0, 1.0)"
-160.0,168.0,"(1.0, 0.5019607843, 0.0, 1.0)"
-160.0,172.0,"(1.0, 0.0, 0.0, 1.0)"
-160.0,176.0,"(0.6, 0.8, 1.0, 1.0)"
-156.0,-176.0,"(0.0, 0.4, 0.8, 1.0)"
-156.0,-172.0,"(0.4, 0.8, 0.0, 1.0)"
-156.0,-168.0,"(0.0, 0.4, 0.8, 1.0)"
-156.0,92.0,"(0.6, 0.8, 1.0, 1.0)"
-156.0,116.0,"(0.6, 0.8, 1.0, 1.0)"
-156.0,124.0,"(0.6, 0.8, 1.0, 1.0)"
-156.0,136.0,"(0.0, 0.4, 0.8, 1.0)"
-156.0,140.0,"(1.0, 0.0, 0.0, 1.0)"
-156.0,144.0,"(0.8, 0.0, 0.0, 1.0)"
-156.0,148.0,"(0.8, 0.0, 0.0, 1.0)"
-156.0,152.0,"(0.8, 0.0, 0.0, 1.0)"
-156.0,156.0,"(1.0, 0.0, 0.0, 1.0)"
-156.0,160.0,"(1.0, 0.0, 0.0, 1.0)"
-156.0,164.0,"(0.8, 0.0, 0.0, 1.0)"
-156.0,172.0,"(0.0, 0.6, 0.0, 1.0)"
-156.0,176.0,"(0.0, 0.4, 0.8, 1.0)"
-152.0,-180.0,"(0.0, 0.6, 0.0, 1.0)"
-152.0,-168.0,"(0.0, 0.4, 0.8, 1.0)"
-152.0,92.0,"(0.6, 0.8, 1.0, 1.0)"
-152.0,112.0,"(0.6, 0.8, 1.0, 1.0)"
-152.0,120.0,"(0.6, 0.8, 1.0, 1.0)"
-152.0,124.0,"(0.6, 0.8, 1.0, 1.0)"
-152.0,136.0,"(0.6, 0.8, 1.0, 1.0)"
-152.0,140.0,"(0.0, 0.4, 0.8, 1.0)"
-152.0,144.0,"(0.8, 0.0, 0.0, 1.0)"
-152.0,148.0,"(0.8, 0.0, 0.0, 1.0)"
-152.0,152.0,"(0.8, 0.0, 0.0, 1.0)"
-152.0,156.0,"(1.0, 0.5019607843, 0.0, 1.0)"
-152.0,160.0,"(0.8, 0.0, 0.0, 1.0)"
-152.0,164.0,"(0.4, 0.8, 0.0, 1.0)"
-152.0,168.0,"(0.0, 0.4, 0.8, 1.0)"
-152.0,172.0,"(1.0, 0.0, 0.0, 1.0)"
-152.0,176.0,"(0.4, 0.8, 0.0, 1.0)"
-148.0,-180.0,"(1.0, 0.0, 0.0, 1.0)"
-148.0,-176.0,"(0.0, 0.6, 0.0, 1.0)"
-148.0,-172.0,"(0.6, 0.8, 1.0, 1.0)"
-148.0,-168.0,"(0.6, 0.8, 1.0, 1.0)"
-148.0,-160.0,"(0.4, 0.8, 0.0, 1.0)"
-148.0,-156.0,"(0.6, 0.8, 1.0, 1.0)"
-148.0,72.0,"(0.6, 0.8, 1.0, 1.0)"
-148.0,76.0,"(0.6, 0.8, 1.0, 1.0)"
-148.0,80.0,"(0.6, 0.8, 1.0, 1.0)"
-148.0,84.0,"(0.6, 0.8, 1.0, 1.0)"
-148.0,112.0,"(0.0, 0.6, 0.0, 1.0)"
-148.0,116.0,"(0.4, 0.8, 0.0, 1.0)"
-148.0,120.0,"(1.0, 0.0, 0.0, 1.0)"
-148.0,124.0,"(0.8, 0.0, 0.0, 1.0)"
-148.0,128.0,"(1.0, 0.5019607843, 0.0, 1.0)"
-148.0,132.0,"(0.8, 0.0, 0.0, 1.0)"
-148.0,136.0,"(0.0, 0.6, 0.0, 1.0)"
-148.0,140.0,"(0.0, 0.6, 0.0, 1.0)"
-148.0,144.0,"(0.0, 0.6, 0.0, 1.0)"
-148.0,148.0,"(0.8, 0.0, 0.0, 1.0)"
-148.0,152.0,"(1.0, 0.0, 0.0, 1.0)"
-148.0,156.0,"(0.8, 0.0, 0.0, 1.0)"
-148.0,160.0,"(0.8, 0.0, 0.0, 1.0)"
-148.0,164.0,"(0.8, 0.0, 0.0, 1.0)"
-148.0,168.0,"(0.8, 0.0, 0.0, 1.0)"
-148.0,172.0,"(0.8, 0.0, 0.0, 1.0)"
-148.0,176.0,"(0.8, 0.0, 0.0, 1.0)"
-144.0,-180.0,"(0.8, 0.0, 0.0, 1.0)"
-144.0,-176.0,"(0.8, 0.0, 0.0, 1.0)"
-144.0,-172.0,"(0.0, 0.6, 0.0, 1.0)"
-144.0,-168.0,"(0.6, 0.8, 1.0, 1.0)"
