X,Y,Color
-180.0,-40.0,"(0.7607843137, 0.7764705882, 0.7529411765, 1.0)"
-180.0,128.0,"(0.7607843137, 0.7764705882, 0.7529411765, 1.0)"
-172.0,100.0,"(0.7607843137, 0.7764705882, 0.7529411765, 1.0)"
-168.0,104.0,"(0.7607843137, 0.7764705882, 0.7529411765, 1.0)"
-160.0,4.0,"(0.7607843137, 0.7764705882, 0.7529411765, 1.0)"
-160.0,12.0,"(0.7607843137, 0.7764705882, 0.7529411765, 1.0)"
-160.0,28.0,"(0.7607843137, 0.7764705882, 0.7529411765, 1.0)"
-160.0,32.0,"(0.7607843137, 0.7764705882, 0.7529411765, 1.0)"
-156.0,0.0,"(0.7607843137, 0.7764705882, 0.7529411765, 1.0)"
-156.0,8.0,"(0.7607843137, 0.7764705882, 0.7529411765, 1.0)"
-156.0,12.0,"(0.7607843137, 0.7764705882, 0.7529411765, 1.0)"
-156.0,16.0,"(0.7607843137, 0.7764705882, 0.7529411765, 1.0)"
-156.0,20.0,"(0.7607843137, 0.7764705882, 0.7529411765, 1.0)"
-156.0,24.0,"(0.7607843137, 0.7764705882, 0.7529411765, 1.0)"
-156.0,36.0,"(0.7607843137, 0.7764705882, 0.7529411765, 1.0)"
-152.0,4.0,"(0.7607843137, 0.7764705882, 0.7529411765, 1.0)"
-152.0,12.0,"(0.7607843137, 0.7764705882, 0.7529411765, 1.0)"
-152.0,16.0,"(0.7607843137, 0.7764705882, 0.7529411765, 1.0)"
-152.0,20.0,"(0.7607843137, 0.7764705882, 0.7529411765, 1.0)"
-152.0,24.0,"(0.7607843137, 0.7764705882, 0.7529411765, 1.0)"
-152.0,36.0,"(0.7607843137, 0.7764705882, 0.7529411765, 1.0)"
-148.0,-4.0,"(0.7607843137, 0.7764705882, 0.7529411765, 1.0)"
-148.0,4.0,"(0.7607843137, 0.7764705882, 0.7529411765, 1.0)"
-148.0,8.0,"(0.7607843137, 0.7764705882, 0.7529411765, 1.0)"
-148.0,12.0,"(0.7607843137, 0.7764705882, 0.7529411765, 1.0)"
-148.0,16.0,"(0.7607843137, 0.7764705882, 0.7529411765, 1.0)"
-148.0,20.0,"(0.7607843137, 0.7764705882, 0.7529411765, 1.0)"
-148.0,24.0,"(0.7607843137, 0.7764705882, 0.7529411765, 1.0)"
-148.0,32.0,"(0.7607843137, 0.7764705882, 0.7529411765, 1.0)"
-148.0,36.0,"(0.7607843137, 0.7764705882, 0.7529411765, 1.0)"
-148.0,44.0,"(0.7607843137, 0.7764705882, 0.7529411765, 1.0)"
-144.0,4.0,"(0.7607843137, 0.7764705882, 0.7529411765, 1.0)"
-144.0,8.0,"(0.7607843137, 0.7764705882, 0.7529411765, 1.0)"
-144.0,20.0,"(0.7607843137, 0.7764705882, 0.7529411765, 1.0)"
-144.0,24.0,"(0.7607843137, 0.7764705882, 0.7529411765, 1.0)"
-140.0,-28.0,"(0.7607843137, 0.7764705882, 0.7529411765, 1.0)"
-140.0,-24.0,"(0.7607843137, 0.7764705882, 0.7529411765, 1.0)"
-140.0,-8.0,"(0.7607843137, 0.7764705882, 0.7529411765, 1.0)"
-140.0,-4.0,"(0.7607843137, 0.7764705882, 0.7529411765, 1.0)"
-140.0,0.0,"(0.7607843137, 0.7764705882, 0.7529411765, 1.0)"
-140.0,4.0,"(0.7607843137, 0.7764705882, 0.7529411765, 1.0)"
-140.0,8.0,"(0.7607843137, 0.7764705882, 0.7529411765, 1.0)"
-140.0,12.0,"(0.7607843137, 0.7764705882, 0.7529411765, 1.0)"
-140.0,20.0,"(0.7607843137, 0.7764705882, 0.7529411765, 1.0)"
-140.0,24.0,"(0.7607843137, 0.7764705882, 0.7529411765, 1.0)"
-136.0,-28.0,"(0.7607843137, 0.7764705882, 0.7529411765, 1.0)"
-136.0,-20.0,"(0.7607843137, 0.7764705882, 0.7529411765, 1.0)"
-136.0,-12.0,"(0.7607843137, 0.7764705882, 0.7529411765, 1.0)"
-136.0,-4.0,"(0.7607843137, 0.7764705882, 0.7529411765, 1.0)"
-136.0,0.0,"(0.7607843137, 0.7764705882, 0.7529411765, 1.0)"
-136.0,4.0,"(0.7607843137, 0.7764705882, 0.7529411765, 1.0)"
-136.0,8.0,"(0.7607843137, 0.7764705882, 0.7529411765, 1.0)"
-136.0,20.0,"(0.7607843137, 0.7764705882, 0.7529411765, 1.0)"
-136.0,24.0,"(0.7607843137, 0.7764705882, 0.7529411765, 1.0)"
-136.0,28.0,"(0.7607843137, 0.7764705882, 0.7529411765, 1.0)"
-136.0,32.0,"(0.7607843137, 0.7764705882, 0.7529411765, 1.0)"
-132.0,-24.0,"(0.7607843137, 0.7764705882, 0.7529411765, 1.0)"
-132.0,-20.0,"(0.7607843137, 0.7764705882, 0.7529411765, 1.0)"
-132.0,-12.0,"(0.7607843137, 0.7764705882, 0.7529411765, 1.0)"
-132.0,-8.0,"(0.7607843137, 0.7764705882, 0.7529411765, 1.0)"
-132.0,-4.0,"(0.7607843137, 0.7764705882, 0.7529411765, 1.0)"
-132.0,0.0,"(0.7607843137, 0.7764705882, 0.7529411765, 1.0)"
-132.0,4.0,"(0.7607843137, 0.7764705882, 0.7529411765, 1.0)"
-132.0,8.0,"(0.7607843137, 0.7764705882, 0.7529411765, 1.0)"
-132.0,20.0,"(0.7607843137, 0.7764705882, 0.7529411765, 1.0)"
-132.0,28.0,"(0.7607843137, 0.7764705882, 0.7529411765, 1.0)"
-128.0,-16.0,"(0.7607843137, 0.7764705882, 0.7529411765, 1.0)"
-128.0,-12.0,"(0.7607843137, 0.7764705882, 0.7529411765, 1.0)"
-128.0,-8.0,"(0.7607843137, 0.7764705882, 0.7529411765, 1.0)"
-128.0,-4.0,"(0.7607843137, 0.7764705882, 0.7529411765, 1.0)"
-128.0,0.0,"(0.7607843137, 0.7764705882, 0.7529411765, 1.0)"
-128.0,4.0,"(0.7607843137, 0.7764705882, 0.7529411765, 1.0)"
-128.0,8.0,"(0.7607843137, 0.7764705882, 0.7529411765, 1.0)"
-128.0,12.0,"(0.7607843137, 0.7764705882, 0.7529411765, 1.0)"
-128.0,16.0,"(0.7607843137, 0.7764705882, 0.7529411765, 1.0)"
-128.0,20.0,"(0.7607843137, 0.7764705882, 0.7529411765, 1.0)"
-128.0,28.0,"(0.7607843137, 0.7764705882, 0.7529411765, 1.0)"
-124.0,-84.0,"(0.7607843137, 0.7764705882, 0.7529411765, 1.0)"
-124.0,-36.0,"(0.7607843137, 0.7764705882, 0.7529411765, 1.0)"
-124.0,-32.0,"(0.7607843137, 0.7764705882, 0.7529411765, 1.0)"
-124.0,-28.0,"(0.7607843137, 0.7764705882, 0.7529411765, 1.0)"
-124.0,-24.0,"(0.7607843137, 0.7764705882, 0.7529411765, 1.0)"
-124.0,-20.0,"(0.7607843137, 0.7764705882, 0.7529411765, 1.0)"
-124.0,-16.0,"(0.7607843137, 0.7764705882, 0.7529411765, 1.0)"
-124.0,-12.0,"(0.7607843137, 0.7764705882, 0.7529411765, 1.0)"
-124.0,-8.0,"(0.7607843137, 0.7764705882, 0.7529411765, 1.0)"
-124.0,-4.0,"(0.7607843137, 0.7764705882, 0.7529411765, 1.0)"
-124.0,0.0,"(0.7607843137, 0.7764705882, 0.7529411765, 1.0)"
-124.0,4.0,"(0.7607843137, 0.7764705882, 0.7529411765, 1.0)"
-124.0,8.0,"(0.7607843137, 0.7764705882, 0.7529411765, 1.0)"
-124.0,12.0,"(0.7607843137, 0.7764705882, 0.7529411765, 1.0)"
-124.0,16.0,"(0.7607843137, 0.7764705882, 0.7529411765, 1.0)"
-124.0,28.0,"(0.7607843137, 0.7764705882, 0.7529411765, 1.0)"
-120.0,-40.0,"(0.7607843137, 0.7764705882, 0.7529411765, 1.0)"
-120.0,-32.0,"(0.7607843137, 0.7764705882, 0.7529411765, 1.0)"
-120.0,-28.0,"(0.7607843137, 0.7764705882, 0.7529411765, 1.0)"
-120.0,-24.0,"(0.7607843137, 0.7764705882, 0.7529411765, 1.0)"
-120.0,-20.0,"(0.7607843137, 0.7764705882, 0.7529411765, 1.0)"
-120.0,-16.0,"(0.7607843137, 0.7764705882, 0.7529411765, 1.0)"
-120.0,-12.0,"(0.7607843137, 0.7764705882, 0.7529411765, 1.0)"
-120.0,-8.0,"(0.7607843137, 0.7764705882, 0.7529411765, 1.0)"
-120.0,-4.0,"(0.7607843137, 0.7764705882, 0.7529411765, 1.0)"
-120.0,0.0,"(0.7607843137, 0.7764705882, 0.7529411765, 1.0)"
-120.0,4.0,"(0.7607843137, 0.7764705882, 0.7529411765, 1.0)"
-120.0,8.0,"(0.7607843137, 0.7764705882, 0.7529411765, 1.0)"
-120.0,12.0,"(0.7607843137, 0.7764705882, 0.7529411765, 1.0)"
-116.0,-84.0,"(0.7607843137, 0.7764705882, 0.7529411765, 1.0)"
-116.0,-80.0,"(0.7607843137, 0.7764705882, 0.7529411765, 1.0)"
-116.0,-76.0,"(0.7607843137, 0.7764705882, 0.7529411765, 1.0)"
-116.0,-44.0,"(0.7607843137, 0.7764705882, 0.7529411765, 1.0)"
-116.0,-36.0,"(0.7607843137, 0.7764705882, 0.7529411765, 1.0)"
-116.0,-32.0,"(0.7607843137, 0.7764705882, 0.7529411765, 1.0)"
-116.0,-28.0,"(0.7607843137, 0.7764705882, 0.7529411765, 1.0)"
-116.0,-24.0,"(0.7607843137, 0.7764705882, 0.7529411765, 1.0)"
-116.0,-20.0,"(0.7607843137, 0.7764705882, 0.7529411765, 1.0)"
-116.0,-16.0,"(0.7607843137, 0.7764705882, 0.7529411765, 1.0)"
-116.0,-12.0,"(0.7607843137, 0.7764705882, 0.7529411765, 1.0)"
-116.0,-8.0,"(0.7607843137, 0.7764705882, 0.7529411765, 1.0)"
-116.0,-4.0,"(0.7607843137, 0.7764705882, 0.7529411765, 1.0)"
-116.0,0.0,"(0.7607843137, 0.7764705882, 0.7529411765, 1.0)"
-116.0,4.0,"(0.7607843137, 0.7764705882, 0.7529411765, 1.0)"
-116.0,12.0,"(0.7607843137, 0.7764705882, 0.7529411765, 1.0)"
-116.0,28.0,"(0.7607843137, 0.7764705882, 0.7529411765, 1.0)"
-112.0,-76.0,"(0.7607843137, 0.7764705882, 0.7529411765, 1.0)"
-112.0,-52.0,"(0.7607843137, 0.7764705882, 0.7529411765, 1.0)"
-112.0,-48.0,"(0.7607843137, 0.7764705882, 0.7529411765, 1.0)"
-112.0,-44.0,"(0.7607843137, 0.7764705882, 0.7529411765, 1.0)"
-112.0,-40.0,"(0.7607843137, 0.7764705882, 0.7529411765, 1.0)"
-112.0,-36.0,"(0.7607843137, 0.7764705882, 0.7529411765, 1.0)"
-112.0,-32.0,"(0.7607843137, 0.7764705882, 0.7529411765, 1.0)"
-112.0,-28.0,"(0.7607843137, 0.7764705882, 0.7529411765, 1.0)"
-112.0,-24.0,"(0.7607843137, 0.7764705882, 0.7529411765, 1.0)"
-112.0,-20.0,"(0.7607843137, 0.7764705882, 0.7529411765, 1.0)"
-112.0,-16.0,"(0.7607843137, 0.7764705882, 0.7529411765, 1.0)"
-112.0,-12.0,"(0.7607843137, 0.7764705882, 0.7529411765, 1.0)"
-112.0,-8.0,"(0.7607843137, 0.7764705882, 0.7529411765, 1.0)"
-112.0,-4.0,"(0.7607843137, 0.7764705882, 0.7529411765, 1.0)"
-112.0,0.0,"(0.7607843137, 0.7764705882, 0.7529411765, 1.0)"
-112.0,4.0,"(0.7607843137, 0.7764705882, 0.7529411765, 1.0)"
-112.0,8.0,"(0.7607843137, 0.7764705882, 0.7529411765, 1.0)"
-112.0,12.0,"(0.7607843137, 0.7764705882, 0.7529411765, 1.0)"
-108.0,-60.0,"(0.7607843137, 0.7764705882, 0.7529411765, 1.0)"
-108.0,-52.0,"(0.7607843137, 0.7764705882, 0.7529411765, 1.0)"
-108.0,-44.0,"(0.7607843137, 0.7764705882, 0.7529411765, 1.0)"
-108.0,-40.0,"(0.7607843137, 0.7764705882, 0.7529411765, 1.0)"
-108.0,-36.0,"(0.7607843137, 0.7764705882, 0.7529411765, 1.0)"
-108.0,-32.0,"(0.7607843137, 0.7764705882, 0.7529411765, 1.0)"
-108.0,-28.0,"(0.7607843137, 0.7764705882, 0.7529411765, 1.0)"
-108.0,-24.0,"(0.7607843137, 0.7764705882, 0.7529411765, 1.0)"
-108.0,-20.0,"(0.7607843137, 0.7764705882, 0.7529411765, 1.0)"
-108.0,-16.0,"(0.7607843137, 0.7764705882, 0.7529411765, 1.0)"
-108.0,-12.0,"(0.7607843137, 0.7764705882, 0.7529411765, 1.0)"
-108.0,-8.0,"(0.7607843137, 0.7764705882, 0.7529411765, 1.0)"
-108.0,-4.0,"(0.7607843137, 0.7764705882, 0.7529411765, 1.0)"
-108.0,0.0,"(0.7607843137, 0.7764705882, 0.7529411765, 1.0)"
-108.0,4.0,"(0.7607843137, 0.7764705882, 0.7529411765, 1.0)"
-108.0,8.0,"(0.7607843137, 0.7764705882, 0.7529411765, 1.0)"
-108.0,16.0,"(0.7607843137, 0.7764705882, 0.7529411765, 1.0)"
-104.0,-120.0,"(0.7607843137, 0.7764705882, 0.7529411765, 1.0)"
-104.0,-64.0,"(0.7607843137, 0.7764705882, 0.7529411765, 1.0)"
-104.0,-60.0,"(0.7607843137, 0.7764705882, 0.7529411765, 1.0)"
-104.0,-52.0,"(0.7607843137, 0.7764705882, 0.7529411765, 1.0)"
-104.0,-44.0,"(0.7607843137, 0.7764705882, 0.7529411765, 1.0)"
-104.0,-40.0,"(0.7607843137, 0.7764705882, 0.7529411765, 1.0)"
-104.0,-36.0,"(0.7607843137, 0.7764705882, 0.7529411765, 1.0)"
-104.0,-32.0,"(0.7607843137, 0.7764705882, 0.7529411765, 1.0)"
-104.0,-28.0,"(0.7607843137, 0.7764705882, 0.7529411765, 1.0)"
-104.0,-24.0,"(0.7607843137, 0.7764705882, 0.7529411765, 1.0)"
-104.0,-20.0,"(0.7607843137, 0.7764705882, 0.7529411765, 1.0)"
-104.0,-16.0,"(0.7607843137, 0.7764705882, 0.7529411765, 1.0)"
-104.0,-12.0,"(0.7607843137, 0.7764705882, 0.7529411765, 1.0)"
-104.0,-8.0,"(0.7607843137, 0.7764705882, 0.7529411765, 1.0)"
-104.0,-4.0,"(0.7607843137, 0.7764705882, 0.7529411765, 1.0)"
-104.0,0.0,"(0.7607843137, 0.7764705882, 0.7529411765, 1.0)"
-104.0,4.0,"(0.7607843137, 0.7764705882, 0.7529411765, 1.0)"
-104.0,8.0,"(0.7607843137, 0.7764705882, 0.7529411765, 1.0)"
-104.0,16.0,"(0.7607843137, 0.7764705882, 0.7529411765, 1.0)"
-100.0,-88.0,"(0.7607843137, 0.7764705882, 0.7529411765, 1.0)"
-100.0,-56.0,"(0.7607843137, 0.7764705882, 0.7529411765, 1.0)"
-100.0,-48.0,"(0.7607843137, 0.7764705882, 0.7529411765, 1.0)"
-100.0,-44.0,"(0.7607843137, 0.7764705882, 0.7529411765, 1.0)"
-100.0,-40.0,"(0.7607843137, 0.7764705882, 0.7529411765, 1.0)"
-100.0,-36.0,"(0.7607843137, 0.7764705882, 0.7529411765, 1.0)"
-100.0,-32.0,"(0.7607843137, 0.7764705882, 0.7529411765, 1.0)"
-100.0,-28.0,"(0.7607843137, 0.7764705882, 0.7529411765, 1.0)"
-100.0,-24.0,"(0.7607843137, 0.7764705882, 0.7529411765, 1.0)"
