X,Y,Color
-108.0,-12.0,"(1.0, 0.5019607843, 0.0, 1.0)"
-100.0,-16.0,"(1.0, 0.5019607843, 0.0, 1.0)"
-100.0,-4.0,"(1.0, 0.5019607843, 0.0, 1.0)"
-100.0,0.0,"(1.0, 0.5019607843, 0.0, 1.0)"
-96.0,-16.0,"(1.0, 0.5019607843, 0.0, 1.0)"
-96.0,-8.0,"(1.0, 0.5019607843, 0.0, 1.0)"
-96.0,-4.0,"(1.0, 0.5019607843, 0.0, 1.0)"
-96.0,0.0,"(0.8, 0.0, 0.0, 1.0)"
-96.0,4.0,"(0.8, 0.0, 0.0, 1.0)"
-96.0,12.0,"(0.8, 0.0, 0.0, 1.0)"
-92.0,0.0,"(1.0, 0.5019607843, 0.0, 1.0)"
-92.0,4.0,"(1.0, 0.5019607843, 0.0, 1.0)"
-88.0,-12.0,"(1.0, 0.5019607843, 0.0, 1.0)"
-88.0,-8.0,"(1.0, 0.5019607843, 0.0, 1.0)"
-88.0,-4.0,"(1.0, 0.5019607843, 0.0, 1.0)"
-88.0,0.0,"(0.8, 0.0, 0.0, 1.0)"
-88.0,8.0,"(1.0, 0.5019607843, 0.0, 1.0)"
-84.0,-32.0,"(1.0, 0.5019607843, 0.0, 1.0)"
-84.0,-28.0,"(0.8, 0.0, 0.0, 1.0)"
-84.0,-16.0,"(0.8, 0.0, 0.0, 1.0)"
-84.0,-8.0,"(1.0, 0.5019607843, 0.0, 1.0)"
-84.0,0.0,"(1.0, 0.5019607843, 0.0, 1.0)"
-80.0,-44.0,"(1.0, 0.5019607843, 0.0, 1.0)"
-80.0,-40.0,"(0.8, 0.0, 0.0, 1.0)"
-80.0,-28.0,"(0.8, 0.0, 0.0, 1.0)"
-80.0,-24.0,"(0.8, 0.0, 0.0, 1.0)"
-80.0,-8.0,"(0.8, 0.0, 0.0, 1.0)"
-76.0,-44.0,"(1.0, 0.5019607843, 0.0, 1.0)"
-76.0,-36.0,"(0.8, 0.0, 0.0, 1.0)"
-76.0,-32.0,"(0.8, 0.0, 0.0, 1.0)"
-76.0,-28.0,"(0.8, 0.0, 0.0, 1.0)"
-76.0,-24.0,"(0.8, 0.0, 0.0, 1.0)"
-76.0,-12.0,"(1.0, 0.5019607843, 0.0, 1.0)"
-76.0,-8.0,"(1.0, 0.5019607843, 0.0, 1.0)"
-72.0,-44.0,"(0.8, 0.0, 0.0, 1.0)"
-72.0,-40.0,"(0.8, 0.0, 0.0, 1.0)"
-72.0,-36.0,"(0.8, 0.0, 0.0, 1.0)"
-72.0,-32.0,"(0.8, 0.0, 0.0, 1.0)"
-72.0,-28.0,"(1.0, 0.5019607843, 0.0, 1.0)"
-72.0,-24.0,"(0.8, 0.0, 0.0, 1.0)"
-72.0,-20.0,"(1.0, 0.5019607843, 0.0, 1.0)"
-72.0,-16.0,"(1.0, 0.5019607843, 0.0, 1.0)"
-72.0,-8.0,"(1.0, 0.5019607843, 0.0, 1.0)"
-68.0,-48.0,"(1.0, 0.5019607843, 0.0, 1.0)"
-68.0,-44.0,"(0.8, 0.0, 0.0, 1.0)"
-68.0,-40.0,"(0.8, 0.0, 0.0, 1.0)"
-68.0,-36.0,"(0.8, 0.0, 0.0, 1.0)"
-68.0,-32.0,"(0.8, 0.0, 0.0, 1.0)"
-68.0,-28.0,"(0.8, 0.0, 0.0, 1.0)"
-68.0,-20.0,"(0.8, 0.0, 0.0, 1.0)"
-64.0,-48.0,"(1.0, 0.5019607843, 0.0, 1.0)"
-64.0,-44.0,"(0.8, 0.0, 0.0, 1.0)"
-64.0,-40.0,"(0.8, 0.0, 0.0, 1.0)"
-64.0,-36.0,"(0.8, 0.0, 0.0, 1.0)"
-64.0,-32.0,"(0.8, 0.0, 0.0, 1.0)"
-64.0,-24.0,"(0.8, 0.0, 0.0, 1.0)"
-60.0,-52.0,"(0.8, 0.0, 0.0, 1.0)"
-60.0,-48.0,"(0.8, 0.0, 0.0, 1.0)"
-60.0,-44.0,"(0.8, 0.0, 0.0, 1.0)"
-60.0,-40.0,"(0.8, 0.0, 0.0, 1.0)"
-60.0,-36.0,"(0.8, 0.0, 0.0, 1.0)"
-60.0,-32.0,"(0.8, 0.0, 0.0, 1.0)"
-56.0,-56.0,"(1.0, 0.5019607843, 0.0, 1.0)"
-56.0,-52.0,"(0.8, 0.0, 0.0, 1.0)"
-56.0,-48.0,"(0.8, 0.0, 0.0, 1.0)"
-56.0,-44.0,"(0.8, 0.0, 0.0, 1.0)"
-56.0,-40.0,"(0.8, 0.0, 0.0, 1.0)"
-56.0,-36.0,"(0.8, 0.0, 0.0, 1.0)"
-56.0,-32.0,"(0.8, 0.0, 0.0, 1.0)"
-52.0,-48.0,"(1.0, 0.5019607843, 0.0, 1.0)"
-52.0,-44.0,"(1.0, 0.5019607843, 0.0, 1.0)"
-52.0,-40.0,"(1.0, 0.5019607843, 0.0, 1.0)"
-52.0,-32.0,"(1.0, 0.5019607843, 0.0, 1.0)"
-48.0,-48.0,"(0.8, 0.0, 0.0, 1.0)"
