X,Y,Color
-172.0,-16.0,"(0.0, 0.2, 0.4, 1.0)"
-168.0,-16.0,"(0.0, 0.2, 0.4, 1.0)"
-160.0,-4.0,"(0.0, 0.2, 0.4, 1.0)"
-152.0,-64.0,"(0.8, 0.0, 0.0, 1.0)"
-152.0,-56.0,"(0.0, 0.2, 0.4, 1.0)"
-152.0,-36.0,"(0.0, 0.2, 0.4, 1.0)"
-152.0,-20.0,"(0.0, 0.2, 0.4, 1.0)"
-152.0,-16.0,"(0.0, 0.2, 0.4, 1.0)"
-152.0,24.0,"(0.0, 0.2, 0.4, 1.0)"
-148.0,-64.0,"(0.8, 0.0, 0.0, 1.0)"
-148.0,-60.0,"(0.0, 0.2, 0.4, 1.0)"
-144.0,-88.0,"(0.0, 0.2, 0.4, 1.0)"
-144.0,-28.0,"(0.0, 0.2, 0.4, 1.0)"
-140.0,-68.0,"(0.0, 0.2, 0.4, 1.0)"
-140.0,-64.0,"(1.0, 0.5019607843, 0.0, 1.0)"
-140.0,-60.0,"(1.0, 0.5019607843, 0.0, 1.0)"
-140.0,-56.0,"(0.0, 0.2, 0.4, 1.0)"
-136.0,-68.0,"(0.0, 0.2, 0.4, 1.0)"
-136.0,-64.0,"(0.0, 0.2, 0.4, 1.0)"
-132.0,-76.0,"(0.0, 0.2, 0.4, 1.0)"
-132.0,-68.0,"(0.0, 0.2, 0.4, 1.0)"
-132.0,-56.0,"(1.0, 0.5019607843, 0.0, 1.0)"
-132.0,-52.0,"(0.0, 0.2, 0.4, 1.0)"
-128.0,-68.0,"(0.8, 0.0, 0.0, 1.0)"
-128.0,-64.0,"(0.0, 0.2, 0.4, 1.0)"
-128.0,-60.0,"(1.0, 0.5019607843, 0.0, 1.0)"
-128.0,-56.0,"(0.0, 0.2, 0.4, 1.0)"
-128.0,-52.0,"(1.0, 0.5019607843, 0.0, 1.0)"
-128.0,-20.0,"(0.8, 0.0, 0.0, 1.0)"
-128.0,-4.0,"(0.0, 0.2, 0.4, 1.0)"
-124.0,-56.0,"(0.0, 0.2, 0.4, 1.0)"
-124.0,-28.0,"(0.0, 0.2, 0.4, 1.0)"
-124.0,-16.0,"(0.0, 0.2, 0.4, 1.0)"
-124.0,-12.0,"(0.0, 0.2, 0.4, 1.0)"
-124.0,0.0,"(0.0, 0.2, 0.4, 1.0)"
-120.0,-68.0,"(0.0, 0.2, 0.4, 1.0)"
-120.0,-60.0,"(0.0, 0.2, 0.4, 1.0)"
-120.0,-56.0,"(0.0, 0.2, 0.4, 1.0)"
-120.0,-40.0,"(0.0, 0.2, 0.4, 1.0)"
-120.0,-28.0,"(0.0, 0.2, 0.4, 1.0)"
-120.0,-24.0,"(0.0, 0.2, 0.4, 1.0)"
-120.0,-20.0,"(1.0, 0.5019607843, 0.0, 1.0)"
-120.0,-12.0,"(0.0, 0.2, 0.4, 1.0)"
-120.0,-8.0,"(0.0, 0.2, 0.4, 1.0)"
-120.0,0.0,"(0.0, 0.2, 0.4, 1.0)"
-120.0,8.0,"(0.0, 0.2, 0.4, 1.0)"
-116.0,-84.0,"(1.0, 0.5019607843, 0.0, 1.0)"
-116.0,-80.0,"(0.0, 0.2, 0.4, 1.0)"
-116.0,-72.0,"(0.0, 0.2, 0.4, 1.0)"
-116.0,-68.0,"(0.8, 0.0, 0.0, 1.0)"
-116.0,-52.0,"(1.0, 0.5019607843, 0.0, 1.0)"
-116.0,-44.0,"(0.0, 0.2, 0.4, 1.0)"
-116.0,-24.0,"(1.0, 0.5019607843, 0.0, 1.0)"
-116.0,-8.0,"(0.0, 0.2, 0.4, 1.0)"
-112.0,-72.0,"(0.0, 0.2, 0.4, 1.0)"
-112.0,-68.0,"(0.8, 0.0, 0.0, 1.0)"
-112.0,-48.0,"(0.0, 0.2, 0.4, 1.0)"
-112.0,-40.0,"(0.0, 0.2, 0.4, 1.0)"
-112.0,-36.0,"(0.0, 0.2, 0.4, 1.0)"
-112.0,-32.0,"(0.0, 0.2, 0.4, 1.0)"
-112.0,-28.0,"(0.0, 0.2, 0.4, 1.0)"
-112.0,-16.0,"(0.0, 0.2, 0.4, 1.0)"
-112.0,4.0,"(0.0, 0.2, 0.4, 1.0)"
-112.0,24.0,"(0.0, 0.2, 0.4, 1.0)"
-108.0,-76.0,"(0.0, 0.2, 0.4, 1.0)"
-108.0,-72.0,"(1.0, 0.5019607843, 0.0, 1.0)"
-108.0,-68.0,"(0.0, 0.2, 0.4, 1.0)"
-108.0,-56.0,"(0.0, 0.2, 0.4, 1.0)"
-108.0,-52.0,"(1.0, 0.5019607843, 0.0, 1.0)"
-108.0,-48.0,"(0.0, 0.2, 0.4, 1.0)"
-108.0,-36.0,"(0.0, 0.2, 0.4, 1.0)"
-108.0,-32.0,"(0.8, 0.0, 0.0, 1.0)"
-108.0,-28.0,"(1.0, 0.5019607843, 0.0, 1.0)"
-108.0,-24.0,"(0.0, 0.2, 0.4, 1.0)"
-108.0,-16.0,"(0.8, 0.0, 0.0, 1.0)"
-108.0,-12.0,"(0.8, 0.0, 0.0, 1.0)"
-108.0,24.0,"(0.8, 0.0, 0.0, 1.0)"
-104.0,-80.0,"(0.0, 0.2, 0.4, 1.0)"
-104.0,-76.0,"(1.0, 0.5019607843, 0.0, 1.0)"
-104.0,-72.0,"(0.0, 0.2, 0.4, 1.0)"
-104.0,-68.0,"(1.0, 0.5019607843, 0.0, 1.0)"
-104.0,-64.0,"(1.0, 0.5019607843, 0.0, 1.0)"
-104.0,-60.0,"(1.0, 0.5019607843, 0.0, 1.0)"
-104.0,-52.0,"(0.0, 0.2, 0.4, 1.0)"
-104.0,-48.0,"(1.0, 0.5019607843, 0.0, 1.0)"
-104.0,-16.0,"(0.0, 0.2, 0.4, 1.0)"
-104.0,-8.0,"(0.0, 0.2, 0.4, 1.0)"
-104.0,24.0,"(0.0, 0.2, 0.4, 1.0)"
