X,Y,Color
-128.0,108.0,"(0.7607843137, 0.7764705882, 0.7529411765, 1.0)"
-124.0,124.0,"(0.7607843137, 0.7764705882, 0.7529411765, 1.0)"
-116.0,160.0,"(0.7607843137, 0.7764705882, 0.7529411765, 1.0)"
-108.0,144.0,"(0.7607843137, 0.7764705882, 0.7529411765, 1.0)"
-108.0,148.0,"(0.7607843137, 0.7764705882, 0.7529411765, 1.0)"
-108.0,156.0,"(0.7607843137, 0.7764705882, 0.7529411765, 1.0)"
-104.0,116.0,"(0.8, 0.0, 0.0, 1.0)"
-104.0,120.0,"(0.8, 0.0, 0.0, 1.0)"
-104.0,124.0,"(0.8, 0.0, 0.0, 1.0)"
-104.0,128.0,"(0.8, 0.0, 0.0, 1.0)"
-104.0,132.0,"(0.8, 0.0, 0.0, 1.0)"
-104.0,136.0,"(0.8, 0.0, 0.0, 1.0)"
-104.0,140.0,"(0.8, 0.0, 0.0, 1.0)"
-104.0,144.0,"(0.8, 0.0, 0.0, 1.0)"
-104.0,148.0,"(0.8, 0.0, 0.0, 1.0)"
-104.0,152.0,"(0.8, 0.0, 0.0, 1.0)"
-104.0,156.0,"(0.8, 0.0, 0.0, 1.0)"
-104.0,160.0,"(0.8, 0.0, 0.0, 1.0)"
-104.0,164.0,"(0.8, 0.0, 0.0, 1.0)"
-104.0,168.0,"(1.0, 0.0, 0.0, 1.0)"
-104.0,172.0,"(0.0, 0.6, 0.0, 1.0)"
-100.0,116.0,"(0.8, 0.0, 0.0, 1.0)"
-100.0,120.0,"(0.8, 0.0, 0.0, 1.0)"
-100.0,124.0,"(0.8, 0.0, 0.0, 1.0)"
-100.0,128.0,"(0.8, 0.0, 0.0, 1.0)"
-100.0,132.0,"(0.8, 0.0, 0.0, 1.0)"
-100.0,136.0,"(0.8, 0.0, 0.0, 1.0)"
-100.0,140.0,"(0.8, 0.0, 0.0, 1.0)"
-100.0,144.0,"(0.8, 0.0, 0.0, 1.0)"
-100.0,148.0,"(0.8, 0.0, 0.0, 1.0)"
-100.0,152.0,"(0.8, 0.0, 0.0, 1.0)"
-100.0,156.0,"(0.8, 0.0, 0.0, 1.0)"
-100.0,160.0,"(0.8, 0.0, 0.0, 1.0)"
-100.0,164.0,"(1.0, 0.5019607843, 0.0, 1.0)"
-100.0,168.0,"(1.0, 0.0, 0.0, 1.0)"
-100.0,172.0,"(0.7607843137, 0.7764705882, 0.7529411765, 1.0)"
-96.0,116.0,"(0.8, 0.0, 0.0, 1.0)"
-96.0,120.0,"(0.8, 0.0, 0.0, 1.0)"
-96.0,124.0,"(0.8, 0.0, 0.0, 1.0)"
-96.0,128.0,"(0.8, 0.0, 0.0, 1.0)"
-96.0,132.0,"(0.8, 0.0, 0.0, 1.0)"
-96.0,136.0,"(0.8, 0.0, 0.0, 1.0)"
-96.0,140.0,"(0.8, 0.0, 0.0, 1.0)"
-96.0,144.0,"(0.8, 0.0, 0.0, 1.0)"
-96.0,148.0,"(0.8, 0.0, 0.0, 1.0)"
-96.0,152.0,"(0.8, 0.0, 0.0, 1.0)"
-96.0,156.0,"(0.8, 0.0, 0.0, 1.0)"
-96.0,160.0,"(0.8, 0.0, 0.0, 1.0)"
-96.0,164.0,"(0.8, 0.0, 0.0, 1.0)"
-96.0,168.0,"(1.0, 0.0, 0.0, 1.0)"
-96.0,172.0,"(0.0, 0.6, 0.0, 1.0)"
-92.0,116.0,"(0.8, 0.0, 0.0, 1.0)"
-92.0,120.0,"(0.8, 0.0, 0.0, 1.0)"
-92.0,124.0,"(0.8, 0.0, 0.0, 1.0)"
-92.0,128.0,"(0.8, 0.0, 0.0, 1.0)"
-92.0,132.0,"(0.8, 0.0, 0.0, 1.0)"
-92.0,136.0,"(0.8, 0.0, 0.0, 1.0)"
-92.0,140.0,"(0.8, 0.0, 0.0, 1.0)"
-92.0,144.0,"(0.8, 0.0, 0.0, 1.0)"
-92.0,148.0,"(0.8, 0.0, 0.0, 1.0)"
-92.0,152.0,"(0.8, 0.0, 0.0, 1.0)"
-92.0,156.0,"(0.8, 0.0, 0.0, 1.0)"
-92.0,160.0,"(0.8, 0.0, 0.0, 1.0)"
-92.0,164.0,"(0.8, 0.0, 0.0, 1.0)"
