X,Y,Color
-180.0,-180.0,"(0.7607843137, 0.7764705882, 0.7529411765, 1.0)"
-180.0,-56.0,"(0.7607843137, 0.7764705882, 0.7529411765, 1.0)"
-180.0,136.0,"(0.7607843137, 0.7764705882, 0.7529411765, 1.0)"
-180.0,144.0,"(0.7607843137, 0.7764705882, 0.7529411765, 1.0)"
-180.0,168.0,"(0.7607843137, 0.7764705882, 0.7529411765, 1.0)"
-180.0,172.0,"(0.7607843137, 0.7764705882, 0.7529411765, 1.0)"
-180.0,176.0,"(0.7607843137, 0.7764705882, 0.7529411765, 1.0)"
-176.0,-180.0,"(0.7607843137, 0.7764705882, 0.7529411765, 1.0)"
-176.0,-176.0,"(0.7607843137, 0.7764705882, 0.7529411765, 1.0)"
-176.0,-160.0,"(0.7607843137, 0.7764705882, 0.7529411765, 1.0)"
-176.0,140.0,"(0.7607843137, 0.7764705882, 0.7529411765, 1.0)"
-176.0,148.0,"(0.7607843137, 0.7764705882, 0.7529411765, 1.0)"
-176.0,152.0,"(0.7607843137, 0.7764705882, 0.7529411765, 1.0)"
-176.0,156.0,"(0.6, 0.8, 1.0, 1.0)"
-176.0,160.0,"(0.0, 0.4, 0.8, 1.0)"
-176.0,164.0,"(0.6, 0.8, 1.0, 1.0)"
-176.0,168.0,"(0.0, 0.4, 0.8, 1.0)"
-176.0,172.0,"(0.6, 0.8, 1.0, 1.0)"
-176.0,176.0,"(0.6, 0.8, 1.0, 1.0)"
-172.0,-180.0,"(0.7607843137, 0.7764705882, 0.7529411765, 1.0)"
-172.0,-176.0,"(0.7607843137, 0.7764705882, 0.7529411765, 1.0)"
-172.0,-172.0,"(0.7607843137, 0.7764705882, 0.7529411765, 1.0)"
-172.0,-164.0,"(0.7607843137, 0.7764705882, 0.7529411765, 1.0)"
-172.0,-160.0,"(0.7607843137, 0.7764705882, 0.7529411765, 1.0)"
-172.0,76.0,"(0.7607843137, 0.7764705882, 0.7529411765, 1.0)"
-172.0,84.0,"(0.7607843137, 0.7764705882, 0.7529411765, 1.0)"
-172.0,136.0,"(0.7607843137, 0.7764705882, 0.7529411765, 1.0)"
-172.0,140.0,"(0.6, 0.8, 1.0, 1.0)"
-172.0,144.0,"(0.7607843137, 0.7764705882, 0.7529411765, 1.0)"
-172.0,148.0,"(0.7607843137, 0.7764705882, 0.7529411765, 1.0)"
-172.0,152.0,"(0.6, 0.8, 1.0, 1.0)"
-172.0,156.0,"(0.0, 0.4, 0.8, 1.0)"
-172.0,160.0,"(0.0, 0.4, 0.8, 1.0)"
-172.0,164.0,"(0.7607843137, 0.7764705882, 0.7529411765, 1.0)"
-172.0,168.0,"(0.0, 0.4, 0.8, 1.0)"
-172.0,172.0,"(0.0, 0.4, 0.8, 1.0)"
-172.0,176.0,"(0.7607843137, 0.7764705882, 0.7529411765, 1.0)"
-168.0,-180.0,"(0.0, 0.4, 0.8, 1.0)"
-168.0,-176.0,"(0.0, 0.2, 0.4, 1.0)"
