X,Y,Color
-180.0,-28.0,"(0.7607843137, 0.7764705882, 0.7529411765, 1.0)"
-180.0,-24.0,"(0.7607843137, 0.7764705882, 0.7529411765, 1.0)"
-180.0,-12.0,"(0.7607843137, 0.7764705882, 0.7529411765, 1.0)"
-176.0,-32.0,"(0.7607843137, 0.7764705882, 0.7529411765, 1.0)"
-176.0,-24.0,"(0.7607843137, 0.7764705882, 0.7529411765, 1.0)"
-176.0,16.0,"(0.7607843137, 0.7764705882, 0.7529411765, 1.0)"
-172.0,-40.0,"(0.7607843137, 0.7764705882, 0.7529411765, 1.0)"
-172.0,-28.0,"(0.7607843137, 0.7764705882, 0.7529411765, 1.0)"
-172.0,-8.0,"(0.7607843137, 0.7764705882, 0.7529411765, 1.0)"
-172.0,12.0,"(0.7607843137, 0.7764705882, 0.7529411765, 1.0)"
-168.0,-144.0,"(0.7607843137, 0.7764705882, 0.7529411765, 1.0)"
-168.0,-80.0,"(0.7607843137, 0.7764705882, 0.7529411765, 1.0)"
-168.0,-72.0,"(0.7607843137, 0.7764705882, 0.7529411765, 1.0)"
-168.0,-68.0,"(0.7607843137, 0.7764705882, 0.7529411765, 1.0)"
-168.0,-24.0,"(0.7607843137, 0.7764705882, 0.7529411765, 1.0)"
-168.0,4.0,"(0.7607843137, 0.7764705882, 0.7529411765, 1.0)"
-168.0,64.0,"(0.7607843137, 0.7764705882, 0.7529411765, 1.0)"
-164.0,-68.0,"(0.7607843137, 0.7764705882, 0.7529411765, 1.0)"
-164.0,20.0,"(0.7607843137, 0.7764705882, 0.7529411765, 1.0)"
-164.0,104.0,"(0.7607843137, 0.7764705882, 0.7529411765, 1.0)"
-160.0,-68.0,"(0.7607843137, 0.7764705882, 0.7529411765, 1.0)"
-160.0,-44.0,"(0.7607843137, 0.7764705882, 0.7529411765, 1.0)"
-160.0,-36.0,"(0.7607843137, 0.7764705882, 0.7529411765, 1.0)"
-160.0,-20.0,"(0.7607843137, 0.7764705882, 0.7529411765, 1.0)"
-160.0,-4.0,"(0.7607843137, 0.7764705882, 0.7529411765, 1.0)"
-160.0,16.0,"(0.7607843137, 0.7764705882, 0.7529411765, 1.0)"
-160.0,80.0,"(0.7607843137, 0.7764705882, 0.7529411765, 1.0)"
-160.0,132.0,"(0.7607843137, 0.7764705882, 0.7529411765, 1.0)"
-160.0,168.0,"(0.7607843137, 0.7764705882, 0.7529411765, 1.0)"
-156.0,-84.0,"(0.7607843137, 0.7764705882, 0.7529411765, 1.0)"
-156.0,-68.0,"(0.7607843137, 0.7764705882, 0.7529411765, 1.0)"
-156.0,-52.0,"(0.7607843137, 0.7764705882, 0.7529411765, 1.0)"
-156.0,-40.0,"(0.0, 0.4, 0.8, 1.0)"
-156.0,-28.0,"(0.7607843137, 0.7764705882, 0.7529411765, 1.0)"
